student_id,name,listening,reading,writing,speaking,target_overall,study_hours_per_week
1,Phan Công Dũng,4.5,3.5,4.0,6.0,7.0,6
2,Hồ Hoàng Bảo,8.5,8.5,4.5,5.0,8.0,20
3,Phạm Ngọc Anh,3.5,4.5,6.0,3.0,5.5,20
4,Lê Hữu Dũng,5.5,9.0,3.5,8.0,7.5,24
5,Bùi Đức Phát,4.5,5.5,4.0,7.5,6.5,7
6,Phạm Công Phong,6.5,6.0,4.5,5.0,6.5,18
7,Trần Hữu Mai,9.0,8.0,7.5,6.5,6.0,27
8,Hoàng Đức Bảo,3.5,5.0,3.5,3.0,7.0,27
9,Bùi Quốc Bảo,7.0,8.0,5.0,6.5,5.5,11
10,Đặng Đức Mai,7.0,4.0,3.0,4.5,5.5,18
11,Hoàng Thanh Bảo,8.0,3.5,5.0,4.5,7.0,9
12,Hoàng Khánh Dũng,8.5,3.5,4.5,5.5,6.0,28
13,Phạm Đức Hùng,8.5,5.0,8.0,6.0,5.5,25
14,Huỳnh Văn Trang,3.5,8.0,5.5,6.0,6.0,14
15,Lý Đức Lan,8.5,5.5,6.0,7.0,7.0,10
16,Võ Hữu Thành,6.5,9.0,3.0,6.0,7.0,19
17,Dương Quốc Nam,8.5,5.5,4.0,4.0,7.0,17
18,Hoàng Hữu Phong,5.5,3.5,5.0,6.5,7.5,10
19,Dương Thị Hương,8.0,9.0,8.0,7.5,8.5,24
20,Phan Hoàng Hải,5.5,8.5,4.5,5.5,8.0,23
21,Bùi Ngọc Tuấn,4.0,8.0,8.0,5.5,5.5,26
22,Huỳnh Thanh Hương,4.5,7.0,7.0,6.5,6.0,5
23,Lê Thị Bảo,3.5,6.0,5.0,3.0,8.5,29
24,Võ Tấn Phát,5.5,7.0,7.5,6.0,7.0,24
25,Nguyễn Văn Hương,4.5,8.5,3.0,7.0,8.5,14
26,Phan Hoàng Phong,4.0,8.5,4.5,7.5,8.5,16
27,Hồ Khánh Phát,6.0,7.0,5.0,3.0,6.0,13
28,Huỳnh Tấn Mai,8.5,5.5,8.0,3.0,8.5,12
29,Phạm Ngọc Tú,7.5,5.0,7.5,3.5,6.0,16
30,Ngô Ngọc Dũng,7.5,5.5,3.5,5.0,6.5,28
31,Nguyễn Quốc Phát,4.0,6.0,7.5,8.0,8.0,14
32,Hồ Hoàng Tuấn,6.5,5.5,3.0,4.5,7.5,24
33,Đặng Công Hùng,3.5,6.5,4.5,7.5,7.5,23
34,Lê Văn Tú,8.5,6.0,3.5,4.0,6.5,21
35,Phạm Ngọc Phong,5.5,7.0,4.5,7.5,7.0,9
36,Lý Quốc Tuấn,7.5,4.0,7.0,8.0,7.0,8
37,Ngô Thị Dũng,7.0,4.0,4.5,5.5,5.5,10
38,Bùi Khánh Hùng,5.5,9.0,7.0,8.0,6.0,21
39,Vũ Ngọc Hương,8.0,7.5,3.5,3.5,7.0,12
40,Võ Thị Anh,8.5,6.0,3.5,6.5,5.5,16
